elapsed_s,n_users,nsats,sat_rate,pods_added,pods_deleted,cumulative_pod_changes,total_pods,effective_pods,effective_pod_ratio,deployed_capacity_fps,total_allocated_fps,capacity_utilization,wasted_fps,pods_per_sat_user,avg_response_ms,real_pose_fps,real_gesture_fps,real_object_fps,eff_pose_fps,eff_gesture_fps,eff_object_fps,avg_pose_latency_ms,avg_gesture_latency_ms,avg_object_latency_ms,avg_pose_svclat_ms,avg_gesture_svclat_ms,avg_object_svclat_ms,real_total_recv_fps,node_status,trigger_type,solver_time_ms,q_score,phase1_triggered,phase1_alloc_count,node_topology,per_user_detail
1.3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""ip-172-31-0-204"": ""healthy"", ""ip-172-31-1-171"": ""healthy"", ""ip-172-31-10-12"": ""healthy"", ""ip-172-31-11-132"": ""healthy"", ""ip-172-31-13-134"": ""healthy"", ""ip-172-31-14-68"": ""healthy"", ""ip-172-31-40-239"": ""healthy""}",unsubscribe,0.1,0.0,0,0,{},"{""a1"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}}"
2.5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""ip-172-31-0-204"": ""healthy"", ""ip-172-31-1-171"": ""healthy"", ""ip-172-31-10-12"": ""healthy"", ""ip-172-31-11-132"": ""healthy"", ""ip-172-31-13-134"": ""healthy"", ""ip-172-31-14-68"": ""healthy"", ""ip-172-31-40-239"": ""healthy""}",unsubscribe,0.1,0.0,0,0,{},"{""a1"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}}"
3.8,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""ip-172-31-0-204"": ""healthy"", ""ip-172-31-1-171"": ""healthy"", ""ip-172-31-10-12"": ""healthy"", ""ip-172-31-11-132"": ""healthy"", ""ip-172-31-13-134"": ""healthy"", ""ip-172-31-14-68"": ""healthy"", ""ip-172-31-40-239"": ""healthy""}",unsubscribe,0.1,0.0,0,0,{},"{""a1"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}}"
5.0,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""ip-172-31-0-204"": ""healthy"", ""ip-172-31-1-171"": ""healthy"", ""ip-172-31-10-12"": ""healthy"", ""ip-172-31-11-132"": ""healthy"", ""ip-172-31-13-134"": ""healthy"", ""ip-172-31-14-68"": ""healthy"", ""ip-172-31-40-239"": ""healthy""}",unsubscribe,0.1,0.0,0,0,{},"{""a1"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}}"
6.2,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""ip-172-31-0-204"": ""healthy"", ""ip-172-31-1-171"": ""healthy"", ""ip-172-31-10-12"": ""healthy"", ""ip-172-31-11-132"": ""healthy"", ""ip-172-31-13-134"": ""healthy"", ""ip-172-31-14-68"": ""healthy"", ""ip-172-31-40-239"": ""healthy""}",unsubscribe,0.1,0.0,0,0,{},"{""a1"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}, ""a2"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}}"
7.5,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""ip-172-31-0-204"": ""healthy"", ""ip-172-31-1-171"": ""healthy"", ""ip-172-31-10-12"": ""healthy"", ""ip-172-31-11-132"": ""healthy"", ""ip-172-31-13-134"": ""healthy"", ""ip-172-31-14-68"": ""healthy"", ""ip-172-31-40-239"": ""healthy""}",unsubscribe,0.1,0.0,0,0,{},"{""a1"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}, ""a2"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}}"
8.8,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""ip-172-31-0-204"": ""healthy"", ""ip-172-31-1-171"": ""healthy"", ""ip-172-31-10-12"": ""healthy"", ""ip-172-31-11-132"": ""healthy"", ""ip-172-31-13-134"": ""healthy"", ""ip-172-31-14-68"": ""healthy"", ""ip-172-31-40-239"": ""healthy""}",unsubscribe,0.1,0.0,0,0,{},"{""a1"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}, ""a2"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}}"
10.0,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""ip-172-31-0-204"": ""healthy"", ""ip-172-31-1-171"": ""healthy"", ""ip-172-31-10-12"": ""healthy"", ""ip-172-31-11-132"": ""healthy"", ""ip-172-31-13-134"": ""healthy"", ""ip-172-31-14-68"": ""healthy"", ""ip-172-31-40-239"": ""healthy""}",unsubscribe,0.1,0.0,0,0,{},"{""a1"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}, ""a2"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}}"
11.2,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""ip-172-31-0-204"": ""healthy"", ""ip-172-31-1-171"": ""healthy"", ""ip-172-31-10-12"": ""healthy"", ""ip-172-31-11-132"": ""healthy"", ""ip-172-31-13-134"": ""healthy"", ""ip-172-31-14-68"": ""healthy"", ""ip-172-31-40-239"": ""healthy""}",unsubscribe,0.1,0.0,0,0,{},"{""a1"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}, ""a2"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}, ""a3"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}}"
12.5,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""ip-172-31-0-204"": ""healthy"", ""ip-172-31-1-171"": ""healthy"", ""ip-172-31-10-12"": ""healthy"", ""ip-172-31-11-132"": ""healthy"", ""ip-172-31-13-134"": ""healthy"", ""ip-172-31-14-68"": ""healthy"", ""ip-172-31-40-239"": ""healthy""}",unsubscribe,0.1,0.0,0,0,{},"{""a1"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}, ""a2"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}, ""a3"": {""services"": [""pose"", ""gesture""], ""fps"": {""pose"": 0, ""gesture"": 0}, ""eff_fps"": {""pose"": 0, ""gesture"": 0}, ""latency_ms"": {""pose"": 0, ""gesture"": 0}, ""svclat_ms"": {""pose"": 0.0, ""gesture"": 0.0}}}"
